chr,start,end,value1,value2
Cp,8288,8351,Unknown,gpos100
Cp,9837,9904,Unknown,gpos100
Cp,13806,13877,Unknown,gpos100
Cp,14638,14745,Unknown,gpos100
Cp,20676,20734,Unknown,gpos100
Cp,21582,21641,Unknown,gpos100
Cp,25797,25868,Unknown,gpos100
Cp,38938,39274,Unknown,gpos100
Cp,39334,39474,Unknown,gpos100
Cp,45136,45194,Unknown,gpos100
Cp,46394,46430,Unknown,gpos100
Cp,47088,47127,Unknown,gpos100
Cp,63464,63535,Unknown,gpos100
Cp,72436,72481,Unknown,gpos100
Cp,77221,77589,Unknown,gpos100
Cp,81474,81518,Unknown,gpos100
Cp,90167,90233,Unknown,gpos100
Cp,91364,91394,Unknown,gpos100
Mt,3198,3412,Unknown,gpos100
Mt,11969,12074,Unknown,gpos100
Mt,18317,18417,Unknown,gpos100
Mt,21890,21931,Unknown,gpos100
Mt,22912,23014,Unknown,gpos100
Mt,24434,24536,Unknown,gpos100
Mt,29015,29107,Unknown,gpos100
Mt,31703,31805,Unknown,gpos100
Mt,32162,32244,Unknown,gpos100
Mt,32222,32266,Unknown,gpos100
Mt,35380,35435,Unknown,gpos100
Mt,35997,36087,Unknown,gpos100
Mt,36686,36723,Unknown,gpos100
Mt,37223,37262,Unknown,gpos100
Mt,37295,37353,Unknown,gpos100
Mt,38974,39074,Unknown,gpos100
Mt,39342,39390,Unknown,gpos100
Mt,42020,42125,Unknown,gpos100
Mt,44728,44830,Unknown,gpos100
Mt,51812,51895,Unknown,gpos100
Mt,53989,54054,Unknown,gpos100
Mt,56498,56603,Unknown,gpos100
Mt,60989,61090,Unknown,gpos100
Mt,61394,61494,Unknown,gpos100
Mt,63689,63790,Unknown,gpos100
Mt,65592,65650,Unknown,gpos100
Mt,78615,78677,Unknown,gpos100
Mt,82288,82393,Unknown,gpos100
Mt,89992,90092,Unknown,gpos100
Mt,92723,92784,Unknown,gpos100
Mt,93674,93757,Unknown,gpos100
Mt,96205,96280,Unknown,gpos100
Mt,96448,96514,Unknown,gpos100
Mt,100171,100224,Unknown,gpos100
Mt,102158,102234,Unknown,gpos100
Mt,115765,115848,Unknown,gpos100
Mt,125042,125095,Unknown,gpos100
Mt,128446,128483,Unknown,gpos100
Mt,165771,165809,Unknown,gpos100
Mt,166080,166163,Unknown,gpos100
Mt,169921,170004,Unknown,gpos100
Mt,177378,177461,Unknown,gpos100
Mt,185689,185765,Unknown,gpos100
Mt,193829,193931,Unknown,gpos100
Mt,194389,194427,Unknown,gpos100
Mt,200329,200367,Unknown,gpos100
Mt,215819,215895,Unknown,gpos100
Mt,218339,218439,Unknown,gpos100
Mt,220964,221002,Unknown,gpos100
Mt,221554,221591,Unknown,gpos100
Mt,222157,222193,Unknown,gpos100
