chr,start,end,value
contig1,5368,6142,10
contig1,16157,17666,-10
contig1,22930,23292,-10
contig1,27601,31191,-10
contig1,32343,35041,-10
contig1,35293,36867,10
contig1,37582,38414,10
contig1,45834,48979,-10
contig1,49957,52315,-10
contig1,52810,55275,10
contig1,56176,64528,10
contig1,65162,72937,-10
contig1,73114,73791,10
contig1,75906,77854,-10
contig1,79595,81638,-10
contig1,82142,83146,10
contig1,84810,87300,-10
contig1,88706,89683,-10
contig1,90265,92826,-10
contig1,94718,97072,-10
contig1,98918,104096,-10
contig1,105221,109478,10
contig1,110911,115501,10
contig1,116072,117089,-10
contig1,117256,118419,10
contig1,118646,119867,-10
contig1,124422,128862,-10
contig1,130263,131307,10
contig1,131614,133001,-10
contig1,134350,135702,-10
contig1,137432,142781,10
contig1,144546,150019,-10
contig1,150458,161199,-10
contig1,162472,165373,-10
contig1,165805,170823,10
contig1,172403,176518,-10
contig1,177658,180104,-10
contig1,181033,182216,-10
contig1,184696,190218,-10
contig1,191995,194682,-10
contig1,195071,197135,10
contig1,198000,198957,-10
contig1,199239,202853,10
contig1,204051,208611,10
contig1,211592,214702,-10
contig1,215247,217041,-10
contig1,219112,221785,-10
contig1,223251,224556,10
contig1,226888,235872,10
contig1,236470,239168,10
contig1,244284,250309,-10
contig1,251480,256809,-10
contig1,261144,263290,-10
contig1,264165,266160,10
contig1,266330,268417,-10
contig1,269469,270944,-10
contig1,336040,337121,10
contig1,339016,339662,10
contig1,341531,343458,-10
contig1,344259,348417,-10
contig1,348861,352235,10
contig1,352564,355674,-10
contig1,355728,357552,10
contig1,358927,359912,-10
contig1,363933,366737,-10
contig1,367073,369548,10
contig1,370566,372413,-10
contig1,372469,374178,10
contig1,374654,378630,10
contig1,380607,383043,-10
contig1,384485,387966,-10
contig1,388231,392164,10
contig1,393278,394960,-10
contig1,395361,400319,-10
contig1,401125,403442,-10
contig1,403621,406247,10
contig1,407442,409640,10
contig1,410431,412421,-10
contig1,412744,415007,10
contig1,415987,420273,-10
contig1,420841,423459,10
contig1,424256,428131,-10
contig1,431159,433320,10
contig1,433879,452742,-10
contig1,455678,459197,-10
contig1,459363,461295,10
contig1,461529,463861,-10
contig1,464601,467821,-10
contig1,468158,469210,10
contig1,474102,475997,10
contig1,478661,484526,-10
contig1,484806,486856,10
contig1,489062,491335,-10
contig1,491519,493856,10
contig1,494378,495903,10
contig1,496479,501881,10
contig1,502294,503592,-10
contig1,504055,505333,10
contig1,507982,508987,10
contig1,516461,518208,10
contig1,518636,521465,-10
contig1,522029,523454,10
contig1,523777,527020,-10
contig1,527707,528903,-10
contig1,529573,532122,-10
contig1,533798,537613,-10
contig1,537889,538984,10
contig1,540304,541917,10
contig1,542664,543962,-10
contig1,545001,545944,10
contig1,546105,546968,10
contig1,548174,551239,-10
contig1,551805,552902,-10
contig1,553508,559334,10
contig1,583965,589942,10
contig1,598492,601162,-10
contig1,602270,607354,-10
contig1,608935,611619,10
