chr,start,end,value1
contig1,1,10000,-0.35943213
contig1,9000,19000,0.018447192
contig1,18000,28000,-0.18159913
contig1,27000,37000,-0.06237242
contig1,36000,46000,0.058433484
contig1,45000,55000,-0.06033149
contig1,54000,64000,0.10429185
contig1,63000,73000,-0.12354107
contig1,72000,82000,-0.14974403
contig1,81000,91000,-0.04251627
contig1,90000,100000,-0.15538688
contig1,99000,109000,-0.011245674
contig1,108000,118000,0.105176084
contig1,117000,127000,-0.03018868
contig1,126000,136000,-0.018592298
contig1,135000,145000,0.025
contig1,144000,154000,-0.06532428
contig1,153000,163000,-0.07310871
contig1,162000,172000,0.013882462
contig1,171000,181000,-0.116202176
contig1,180000,190000,-0.064276345
contig1,189000,199000,-0.08152925
contig1,198000,208000,0.09734864
contig1,207000,217000,6.84E-04
contig1,216000,226000,-0.036388762
contig1,225000,235000,0.061700694
contig1,234000,244000,0.09086809
contig1,243000,253000,-0.092102565
contig1,252000,262000,-0.1446373
contig1,261000,271000,-0.04613413
contig1,270000,280000,0.1111553
contig1,279000,289000,-0.16870612
contig1,288000,298000,0.20505385
contig1,297000,307000,0.019578027
contig1,306000,316000,0.06056366
contig1,315000,325000,0.003240441
contig1,324000,334000,-0.24143624
contig1,333000,343000,-0.016963528
contig1,342000,352000,-0.01801406
contig1,351000,361000,-0.005677947
contig1,360000,370000,0.11307725
contig1,369000,379000,0.07359491
contig1,378000,388000,-0.059154928
contig1,387000,397000,-0.032398347
contig1,396000,406000,-0.06796979
contig1,405000,415000,0.024432432
contig1,414000,424000,-0.04785553
contig1,423000,433000,-0.087788776
contig1,432000,442000,-0.010230179
contig1,441000,451000,-0.040120795
contig1,450000,460000,-0.032967035
contig1,459000,469000,-0.012658228
contig1,468000,478000,0.05939501
contig1,477000,487000,-0.011382114
contig1,486000,496000,0.013913044
contig1,495000,505000,0.04797048
contig1,504000,514000,0.08957795
contig1,513000,523000,6.17E-04
contig1,522000,532000,0.002850252
contig1,531000,541000,0.007475813
contig1,540000,550000,-0.005072023
contig1,549000,559000,-0.024820227
contig1,558000,568000,-0.092977464
contig1,567000,577000,-0.12116788
contig1,576000,586000,0.09773829
contig1,585000,595000,0.05690694
contig1,594000,604000,0.003669725
